current_gold,total_gold,level,xp,cs,jg,champion_mastery,damage_taken_per_min,champion_mastery_median,champion_mastery_min,ward_placed,elite_monster_killed,building_killed,champion_killed,winner
2484.0,-5536.0,-4.0,-4985.0,-60.0,-16.0,0.0,-366.10000000000014,0,0,48,-1,-3,-7,1
-458.0,-1388.0,-2.0,-3649.0,-54.0,17.0,0.0,176.9000000000001,0,0,-80,0,-1,-5,0
583.0,3663.0,3.0,4584.0,-20.0,46.0,0.0,514.6000000000004,0,0,-4,-1,0,7,0
-338.0,-7093.0,-3.0,-3952.0,-72.0,-17.0,0.0,-80.90000000000055,0,0,-33,-4,-2,-10,1
-2863.0,-6852.0,-2.0,-4045.0,-92.0,-1.0,0.0,-258.89999999999964,0,0,-15,1,-4,-7,1
1004.0,6446.0,3.0,3237.0,74.0,54.0,0.0,-295.4000000000003,0,0,17,1,6,1,0
-228.0,-2160.0,1.0,1281.0,-70.0,20.0,0.0,93.60000000000036,0,0,4,-1,-1,1,0
-350.0,370.0,2.0,1591.0,34.0,-33.0,0.0,-484.9000000000001,0,0,53,-1,-3,3,1
2232.0,-2693.0,0.0,116.0,2.0,-17.0,0.0,60.899999999999636,0,0,258,0,-3,-4,1
-587.0,-2987.0,-2.0,-3708.0,-26.0,0.0,0.0,334.8000000000002,0,0,32,0,-2,-3,1
-1131.0,6539.0,2.0,716.0,63.0,-3.0,0.0,-124.90000000000009,0,0,-67,4,1,6,0
-1386.0,-4293.0,-1.0,-2313.0,-80.0,14.0,0.0,547.7000000000007,0,0,-6,1,-3,-7,0
-641.0,-4060.0,-4.0,-4146.0,-62.0,-33.0,0.0,-196.29999999999973,0,0,0,1,-1,-6,1
-1447.0,-1676.0,-2.0,-1544.0,-24.0,-29.0,0.0,-459.70000000000005,0,0,-14,-1,-2,5,1
248.0,-27.0,1.0,2677.0,2.0,37.0,0.0,255.20000000000027,0,0,-102,-2,-3,-1,0
2106.0,-1119.0,0.0,1634.0,2.0,-35.0,0.0,-330.3000000000002,0,0,-185,-2,-2,2,1
3136.0,-709.0,-2.0,-1885.0,-20.0,-49.0,0.0,-264.0999999999999,0,0,-154,-2,-1,0,1
-1705.0,-6337.0,-5.0,-5916.0,-34.0,-28.0,0.0,361.6999999999998,0,0,67,-3,-4,-7,1
-668.0,543.0,1.0,1229.0,53.0,24.0,0.0,654.5000000000002,0,0,-19,-1,1,-1,1
4806.0,9820.0,6.0,7603.0,67.0,19.0,0.0,100.30000000000018,0,0,-1,1,2,12,0
3566.0,11050.0,8.0,11041.0,68.0,42.0,0.0,-63.09999999999991,0,0,3,2,4,14,0
999.0,-3600.0,-3.0,-2679.0,24.0,-31.0,0.0,-314.89999999999986,0,0,-25,2,0,-5,1
2016.0,2535.0,3.0,2934.0,-25.0,52.0,0.0,-116.69999999999982,0,0,19,1,2,0,0
-87.0,-509.0,1.0,1117.0,-23.0,-33.0,0.0,57.90000000000009,0,0,2,1,-1,4,1
153.0,-987.0,0.0,1049.0,27.0,-19.0,0.0,-66.09999999999991,0,0,125,-4,-4,-4,1
-812.0,-6522.0,-5.0,-6106.0,-49.0,-4.0,0.0,141.5999999999999,0,0,147,-1,-2,-16,1
1802.0,4347.0,3.0,3912.0,33.0,-3.0,0.0,-77.60000000000036,0,0,-3,0,-1,6,0
-1288.0,-1804.0,-1.0,-1174.0,-62.0,29.0,0.0,848.0999999999997,0,0,32,-1,-1,-3,1
-911.0,-11237.0,-3.0,-4698.0,-26.0,-43.0,0.0,591.9000000000001,0,0,0,-5,-8,-15,1
5845.0,-2924.0,-2.0,-2105.0,-77.0,-8.0,0.0,122.30000000000018,0,0,3,-3,-2,-15,1
10.0,6450.0,1.0,3042.0,70.0,23.0,0.0,-193.10000000000036,0,0,-25,2,4,5,0
3811.0,2337.0,2.0,727.0,-25.0,-7.0,0.0,-146.4000000000001,0,0,61,-3,0,5,0
-452.0,4052.0,0.0,1480.0,35.0,39.0,0.0,-160.60000000000014,0,0,-5,3,-3,4,0
289.0,8334.0,5.0,6918.0,32.0,44.0,0.0,-524.4999999999995,0,0,15,1,4,13,0
3064.0,-1021.0,1.0,2689.0,1.0,40.0,0.0,-292.89999999999986,0,0,0,1,-2,-3,1
6073.0,11228.0,6.0,6412.0,34.0,17.0,0.0,-604.9999999999998,0,0,30,4,4,14,0
-2837.0,583.0,-1.0,-626.0,-44.0,-25.0,0.0,42.20000000000027,0,0,4,4,-1,6,0
-1259.0,-8049.0,-6.0,-7957.0,-71.0,-11.0,0.0,-15.300000000000182,0,0,-9,-2,-4,-9,1
